Ikes Place,Matt Cain,Kryptonite,Spiffy Tiffy,Nacho Boy,Super Mario,Forty,Meatless Mike,Fat Bastard,Barry B,Paul Reubens,2239 Market StSan Francisco CA 94114,(415) 621-8664    ,Mon  10:00 am - 7:00 pm|  Tue  10:00 am - 7:00 pm|  Wed  10:00 am - 7:00 pm|  Thu  10:00 am - 7:00 pm|  Fri  10:00 am - 7:00 pm|  Sat  10:00 am - 7:00 pm|  Sun  10:00 am - 7:00 pm   |
The Flying Falafel,Falafel Balls,Plate Me,Cinnamon Baklava,Flying Falafel Pocket Sandwich,Falafel Frisbee,Hummus Saucer,Hummus To Go,Fresh Baked Pita,Banana Milkshake Contains Pecans,Cold Hibiscus Tea,1051 Market StSan Francisco CA 94103,(415) 964-1003    ,Mon  10:00 am - 8:30 pm|  Tue  10:00 am - 8:30 pm|  Wed  10:00 am - 8:30 pm|  Thu  10:00 am - 8:30 pm|  Fri  10:00 am - 8:30 pm|  Sat  10:00 am - 8:30 pm|  Sun  10:00 am - 8:30 pm   |
The Chairman,Rice Bowl,Coca Cola Braised Pork,Tender Pork Belly,Water,The Chairman Rice,Wonton Chips,Braised Beef Short Rib,Miso Cured Tofu,Kennebec Potato Fries,Seasonal Greens,670 Larkin StSan Francisco CA 94109,,Mon  11:30 am - 9:00 pm|  Tue  11:30 am - 9:00 pm|  Wed  11:30 am - 9:00 pm|  Thu  11:30 am - 9:00 pm|  Fri  11:30 am - 9:00 pm|  Sat  11:30 am - 9:00 pm|  Sun  11:30 am - 7:00 pm   |
Frances,Applewood Smoked Bacon Beignets,Panisse Frites,Sonoma Duck Breast,Grilled Bavette Steak,Grilled Beet Salad,Melted Leek,Autumn Vegetable Casserole,Grilled Chicories,Monterey Black Cod,Roasted Delicata Squash,3870 17th StSan Francisco CA 94114,(415) 621-3870    ,Mon|  Closed|  Tue  5:00 pm - 10:00 pm|  Wed  5:00 pm - 10:00 pm|  Thu  5:00 pm - 10:00 pm|  Fri  5:00 pm - 10:30 pm|  Sat  5:00 pm - 10:30 pm|  Sun  5:00 pm - 10:00 pm   |
State Bird Provisions,CA state bird,Duck Liver Mousse,Garlic Bread,Steak Tartare,Guinea Hen Dumplings,King Salmon,Double Chocolate Pudding,Cumin Lamb,Pork Fried Farro,Shaved Squash,1529 Fillmore StSan Francisco CA 94115,(415) 795-1272    ,Mon  5:30 pm - 10:00 pm|  Tue  5:30 pm - 10:00 pm|  Wed  5:30 pm - 10:00 pm|  Thu  5:30 pm - 10:00 pm|  Fri  5:30 pm - 11:00 pm|  Sat  5:30 pm - 11:00 pm|  Sun  5:30 pm - 10:00 pm   |
Nopa,Warm Goat Cheese,Country Pork Chop,Avocado Toast,Grilled Broccoli,Housemade Pappardelle,Warm Marinated Olives,Moroccan Vegetable Tagine,Wood Baked Butter Beans,Grilled Calamari,Olive Oil Poached Albacore,560 Divisadero StSan Francisco CA 94117,(415) 864-8643    ,Mon  5:00 pm - 1:00 am|  Tue  5:00 pm - 1:00 am|  Wed  5:00 pm - 1:00 am|  Thu  5:00 pm - 1:00 am|  Fri  5:00 pm - 1:00 am|  Sat  11:00 am - 1:00 am|  Sun  11:00 am - 1:00 am   |
El Farolito,Burrito,Carne Asada,Super Burrito,Quesadilla,Tacos,Nachos,Super Quesadilla Suiza,Al Pastor,Quesadilla Suiza,Carnitas,2779 Mission StSan Francisco CA 94110,(415) 824-7877    ,Mon  10:00 am - 2:30 am|  Tue  10:00 am - 2:30 am|  Wed  10:00 am - 2:30 am|  Thu  10:00 am - 2:30 am|  Fri  10:00 am - 3:30 am|  Sat  10:00 am - 3:30 am|  Sun  10:00 am - 2:30 am   |
Lolo,Taco Tropical,Fried Brussel Sprouts,Tuna Tacon,Carnitas,Pistachio,Guacamole,Crab Tostadas,Duck Confit,Octopus Tiradito,Huitlacoche And Ricotta,974 Valencia StSan Francisco CA 94110,(415) 643-5656    ,Mon  5:30 pm - 11:00 pm|  Tue  5:30 pm - 11:00 pm|  Wed  5:30 pm - 11:00 pm|  Thu  5:30 pm - 11:00 pm|  Fri  5:30 pm - 1:00 am|  Sat  11:30 am - 4:00 pm5:30 pm - 1:00 am|  Sun  11:00 am - 4:00 pm   |
Chez Maman,Brie,Veal,Salmon,Thai,Warm Goat Cheese,Basic Burger,Complete,Baked Camembert,Croque Madame,Tomato,1401 18th StSan Francisco CA 94107,(415) 655-9542    ,Mon  11:30 am - 11:00 pm|  Tue  11:30 am - 11:00 pm|  Wed  11:30 am - 11:00 pm|  Thu  11:30 am - 11:00 pm|  Fri  11:30 am - 11:00 pm|  Sat  10:30 am - 11:00 pm|  Sun  10:30 am - 11:00 pm   |
Garaje,Cali Steak,Carnitas,Jerritos,Skirt Steak,Beer Battered Tilapia,Como Se Llama,Jose Wong,Garaje Potato Chips,Street Style,Red Bull,475 3rd StSan Francisco CA 94107,(415) 644-0838    ,Mon  11:30 am - 10:00 pm|  Tue  11:30 am - 10:00 pm|  Wed  11:30 am - 10:00 pm|  Thu  11:30 am - 10:00 pm|  Fri  11:30 am - 10:00 pm|  Sat  5:00 pm - 10:00 pm|  Sun|  Closed|  
